Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
140,0,0.0344849,0.00152588,0.102539,3.13169,-2.0885,-152.749,-41.2356,7127.97,452.926,-153.335,0.269958,0
140,1,0.0350952,0.000305176,0.0271606,2.60938,-1.89585,-154.065,-55.0405,6930.49,379.896,-155.016,0.357254,0
140,2,0.0253296,0.000610352,-0.0497437,2.80187,-2.22448,-152.322,121.321,6830.8,333.22,-155.156,-0.796474,0
140,3,0.027771,0.000610352,-0.10376,2.73767,-2.49062,-153.014,177.343,6869.42,281.867,-155.106,-1.159,0
140,4,0.0341797,0.000305176,-0.137329,3.00228,-2.90746,-153.78,48.2662,7151.14,294.165,-153.498,-0.313864,0
141,0,0.0305176,0.000305176,-0.149231,3.43679,-2.90489,-151.866,293.515,7023.86,340.999,-153.75,-1.93272,0
141,1,0.0302124,0.0012207,-0.136108,4.0926,-3.01096,-151.509,-10.684,7031.53,289.294,-153.59,0.0705176,0
141,2,0.0396729,0.00244141,-0.103455,3.69068,-3.04569,-154.904,87.5287,6769.21,318.893,-156.301,-0.565053,0
141,3,0.038147,-0.000305176,-0.0418091,4.29449,-3.27879,-152.546,-21.4026,6926.62,252.372,-154.593,0.140302,0
141,4,0.0344849,0,-0.0366211,3.8782,-3.03694,-153.597,-78.15,7052.31,206.012,-154.086,0.508798,0
142,0,0.0378418,-0.000305176,-0.000305176,4.27807,-2.39885,-154.646,-163.721,6976.11,332.715,-154.89,1.05869,0
142,1,0.0427246,0,0.0436401,3.96925,-1.93504,-154.135,-267.385,6944.84,379.634,-154.943,1.73474,0
142,2,0.0296021,0.00152588,0.088501,3.94433,-2.06412,-152.913,-429.249,7023.73,438.949,-154.067,2.80714,0
142,3,0.0332642,0.0012207,0.118713,4.66602,-1.55247,-152.828,-619.002,7038.9,444.103,-153.942,4.05033,0
142,4,0.0338745,0.000915527,0.148926,4.29834,-1.95396,-154.213,-358.023,7161.52,462.289,-153.561,2.32161,0
143,0,0.0354004,0.000915527,0.153198,4.19187,-1.60316,-154.741,-522.157,7061.01,528.01,-154.369,3.37439,0
143,1,0.0354004,0.00152588,0.143738,4.21716,-1.62834,-155.524,-244.983,7034.2,547.232,-154.771,1.57521,0
143,2,0.0280762,0,0.0741577,4.29622,-1.86587,-153.001,-209.524,6991.62,486.168,-154.303,1.36943,0
143,3,0.0317383,0.00274658,-0.00335693,3.8856,-1.51828,-154.923,-62.1709,7011.87,529.021,-154.74,0.401301,0
143,4,0.0314331,0.000915527,-0.0698853,3.97094,-1.09755,-153.713,-0.696052,6936.37,627.207,-154.875,0.00452826,0
144,0,0.0253296,0.00244141,-0.118713,4.31915,-0.654119,-153.807,174.346,6984.8,586.289,-154.587,-1.13354,0
144,1,0.0299072,0.000915527,-0.142822,4.09824,-0.652485,-152.675,128.631,7054.34,706.339,-153.795,-0.842514,0
144,2,0.0286865,0.000915527,-0.14679,3.75791,-1.38802,-154.661,41.4332,7007.84,747.414,-154.689,-0.267896,0
144,3,0.0323486,0.00213623,-0.123291,4.23756,-0.898838,-154.404,-71.4246,7041.65,747.877,-154.395,0.462581,0
144,4,0.0299072,0.00152588,-0.0900269,3.74852,-0.675884,-151.894,-29.3752,6952.55,817.566,-154.228,0.193392,0
145,0,0.0326538,0.000610352,-0.0396729,3.2311,-0.661282,-154.42,-62.735,6915.59,822.834,-155.216,0.406263,0
145,1,0.0341797,0.000305176,-0.0350952,3.10156,-0.705654,-154.677,-199.148,7000.98,901.188,-154.738,1.28751,0
145,2,0.0305176,0.00183105,0.0112915,3.30822,-0.982826,-151.367,-421.272,7067.32,820.559,-153.31,2.78311,0
145,3,0.0418091,0.00244141,0.0552368,3.38079,-1.09786,-153.451,-425.727,7013.83,774.65,-154.293,2.77435,0
145,4,0.0396729,-0.000610352,0.100403,3.38418,-1.12209,-154.668,-448.862,7024.23,746.981,-154.585,2.90211,0
146,0,0.03479,0.00183105,0.13855,3.18722,-1.167,-154.669,-573.253,6979.28,737.576,-154.876,3.70633,0
146,1,0.0350952,0.00213623,0.156555,3.39805,-1.29392,-153.016,-421.406,7047.81,625.644,-153.941,2.75399,0
146,2,0.0311279,0.00274658,0.161743,3.27253,-1.62982,-153.967,-346.739,6947.29,658.278,-154.878,2.25203,0
146,3,0.0372314,0.00213623,0.119934,3.0982,-1.07947,-155.458,-212.388,7072.79,626.738,-154.503,1.36621,0
146,4,0.0283813,0.000915527,0.0476074,3.12028,-0.903341,-154.504,-161.347,6955.49,743.29,-154.982,1.04429,0
147,0,0.0308228,0.000610352,-0.032959,2.85274,-1.12231,-153.2,85.4984,7026.33,742.745,-154.136,-0.558084,0
147,1,0.0265503,0.000610352,-0.0918579,2.94569,-0.705089,-154.419,-9.59167,7060.23,864.069,-154.279,0.0621145,0
147,2,0.0314331,0.00183105,-0.13031,2.54343,-0.0854022,-152.441,183.439,6933.56,860.622,-154.516,-1.20335,0
147,3,0.0338745,0.0012207,-0.14801,2.6343,-0.550972,-153.126,420.158,6974.01,851.008,-154.456,-2.74386,0
147,4,0.03479,0.000610352,-0.140686,2.74336,-0.680923,-153.642,125.578,7120.84,794.291,-153.653,-0.81734,0
148,0,0.0265503,0.000915527,-0.112915,3.09707,-1.21135,-153.976,248.317,7132.06,798.376,-153.681,-1.6127,0
148,1,0.0344849,0.000610352,-0.065918,2.76886,-1.01451,-153.635,-22.104,6941.96,822.021,-154.815,0.143873,0
148,2,0.0369263,0,-0.039978,2.67096,-1.03095,-150.51,66.6135,6897.38,812.27,-154.173,-0.442586,0
148,3,0.0338745,0,-0.0161743,2.94304,-1.07907,-153.546,-124.544,6961.16,779.934,-154.664,0.811122,0
148,4,0.0375366,0.00244141,0.0292969,3.49309,-1.12164,-154.058,-315.488,7000.98,793.541,-154.556,2.04785,0
149,0,0.0369263,0.000915527,0.0738525,3.57711,-0.545923,-153.375,-257.881,6962.13,799.148,-154.607,1.68138,0
149,1,0.0396729,0.00152588,0.111084,3.7943,-0.807732,-152.322,-402.571,6986.63,830.7,-154.133,2.64289,0
149,2,0.0292969,0.0012207,0.144653,3.37298,-0.761405,-151.371,-145.123,7180.01,858.058,-152.567,0.958725,0
149,3,0.0411987,0.00183105,0.157166,3.22555,-0.392031,-152.162,-185.995,6904.28,938.587,-154.626,1.22234,0
149,4,0.03479,0.00183105,0.158997,3.60059,-0.72293,-151.889,-111.29,6905.2,1026.33,-154.538,0.732706,0
150,0,0.0323486,0,0.101318,3.24733,-0.479508,-151.898,-78.8952,7000.17,998.544,-153.915,0.519397,0
150,1,0.0378418,0.00152588,0.0244141,3.19741,0.141165,-151.131,-85.5363,6958.17,920.573,-153.959,0.565973,0
150,2,0.027771,0.00152588,-0.0494385,3.75488,-0.546796,-153.283,108.279,7042.77,947.911,-154.054,-0.7064,0
150,3,0.0241089,0.00244141,-0.104065,3.47172,-0.15242,-154.164,180.285,7003.31,944.301,-154.572,-1.16943,0
150,4,0.0372314,0.00152588,-0.137634,3.34562,0.0995533,-150.438,270.144,7021.78,818.596,-153.324,-1.79572,0
151,0,0.0314331,0.0012207,-0.14801,3.16057,0.157228,-152.61,393.125,6934.76,1005.27,-154.559,-2.57601,0
151,1,0.0259399,0.00152588,-0.138855,2.85156,0.267834,-152.356,75.419,6832.61,926.339,-155.154,-0.495018,0
151,2,0.0369263,0.000915527,-0.100708,2.31067,-0.576874,-153.648,84.1179,6819.9,929.966,-155.614,-0.54747,0
151,3,0.0289917,0.00152588,-0.0427246,2.28271,-0.328926,-152.782,83.2013,7050.74,929.335,-153.851,-0.544575,0
151,4,0.0326538,0,-0.0384521,2.28547,-0.198274,-153.915,-22.4738,7034.81,897.213,-154.294,0.146015,0
152,0,0.0350952,0.000305176,-0.00213623,2.78997,-0.0853785,-152.603,-185.929,6967.73,1073.46,-154.341,1.21838,0
152,1,0.0427246,0.0012207,0.0454712,2.81535,-0.0893406,-153.564,-396.42,6675.84,958.376,-156.527,2.58147,0
152,2,0.0378418,0.00152588,0.0881958,3.29079,-0.346199,-151.899,-407.078,6936.82,970.636,-154.333,2.67992,0
152,3,0.0350952,0.00152588,0.119934,3.26565,-0.298336,-150.854,-706.196,7007.53,1016.16,-153.548,4.68131,0
152,4,0.0341797,0.000915527,0.148621,3.08966,0.339747,-152.437,-344.59,7089.07,897.116,-153.495,2.26053,0
153,0,0.0335693,0.00274658,0.152893,2.89718,0.0486137,-152.521,-557.579,6839.75,943.616,-155.155,3.65576,0
153,1,0.0344849,0.00244141,0.142517,3.15622,-0.190329,-151.209,-256.035,6994.82,989.29,-153.741,1.69326,0
153,2,0.0296021,0.000610352,0.0723267,3.1794,-0.589507,-151.464,-49.4014,6940.25,928.915,-154.179,0.326158,0
153,3,0.0317383,0.000305176,-0.00762939,2.78364,-0.01727,-152.352,8.43365,6941.4,841.879,-154.438,-0.0553564,0
153,4,0.0302124,0.000915527,-0.0738525,2.9417,-0.329011,-152.778,117.469,6872.63,902.245,-155.016,-0.768884,0
154,0,0.0262451,0.000305176,-0.12085,3.02138,0.227294,-151.052,219.126,6859.09,879.716,-154.591,-1.45066,0
154,1,0.0354004,0.000305176,-0.143127,3.26667,-0.479948,-151.294,144.786,6856.73,915.723,-154.68,-0.956979,0
154,2,0.0350952,0.0012207,-0.146179,3.31035,-0.0584191,-152.515,161.892,7185.21,934.099,-152.888,-1.06148,0
154,3,0.0332642,0.000305176,-0.124207,3.13325,-0.0142444,-151.476,-36.6404,7005.27,938.875,-153.753,0.241889,0
154,4,0.0341797,0.000915527,-0.0897217,2.63099,-0.304211,-152.172,-70.9146,6991.28,882.843,-154.057,0.466017,0
155,0,0.0302124,0,-0.039978,3.05336,-0.636682,-152.852,-85.6021,7009.29,989.176,-154.143,0.560031,0
155,1,0.0302124,-0.000305176,-0.0344849,2.98398,-0.304581,-152.776,-115.175,6959.71,873.786,-154.445,0.753876,0
155,2,0.0366211,-0.000610352,0.00854492,3.18194,-0.0595911,-153.818,-249.997,7201.53,887.297,-153.182,1.62528,0
155,3,0.0332642,0.000610352,0.055542,3.1113,-0.0353644,-151.213,-293.915,6997.05,966.258,-153.727,1.94372,0
155,4,0.0326538,0.00152588,0.0991821,3.27131,-0.502168,-152.94,-391.091,6991.98,928.701,-154.283,2.55716,0
156,0,0.0289917,0.00274658,0.135803,3.7973,-0.478497,-153.11,-478.348,6952.74,877.799,-154.59,3.12422,0
156,1,0.032959,0.00244141,0.157776,3.71087,0.512079,-153.739,-237.161,6879.04,954.34,-155.255,1.54262,0
156,2,0.032959,0.00305176,0.161438,3.2713,0.0269909,-153.385,-213.357,7028.88,957.607,-154.175,1.391,0
156,3,0.0332642,0.00274658,0.119629,3.77302,-0.256225,-152.243,-213.835,7050.15,975.448,-153.692,1.40456,0
156,4,0.0323486,0.00213623,0.0460815,3.60607,-0.152643,-154.42,-243.165,6918.51,985.791,-155.197,1.5747,0
157,0,0.0375366,0.000610352,-0.0323486,3.74823,0.05369,-151.817,44.1304,7086.46,976.091,-153.322,-0.290683,0
157,1,0.0283813,0.00183105,-0.090332,3.22114,0.360642,-151.83,45.8161,7002.73,948.963,-153.878,-0.301759,0
157,2,0.0280762,0.000915527,-0.129395,3.37462,-0.125328,-151.3,248.588,6941.43,930.068,-154.121,-1.64302,0
157,3,0.0271606,0.000305176,-0.145264,3.18736,-0.287377,-153.209,441.066,6871.53,1037.5,-155.149,-2.87885,0
157,4,0.0289917,0.00213623,-0.13855,3.2126,0.174646,-154.955,215.491,6909.35,1010.31,-155.411,-1.39067,0
158,0,0.027771,-0.000305176,-0.111389,3.39967,-0.192841,-152.166,189.815,6985.77,948.483,-154.091,-1.24742,0
158,1,0.0335693,0.000610352,-0.06073,3.71449,-0.173632,-155.115,23.7302,7109.79,916.062,-154.164,-0.152985,0
158,2,0.0289917,0,-0.0430298,3.10452,-0.267165,-155.381,74.6387,6966.92,976.812,-155.162,-0.48036,0
158,3,0.0387573,0.00152588,-0.015564,2.73031,-0.641593,-155.203,-241.254,6990.75,896.698,-154.958,1.55444,0
158,4,0.0393677,0.0012207,0.0302124,3.67571,-0.572761,-155.365,-383.503,7022.52,998.71,-154.8,2.46841,0
159,0,0.0405884,0.00183105,0.0769043,3.60973,-0.551269,-155.889,-315.244,7043.81,929.281,-154.815,2.02223,0
159,1,0.0375366,0.00152588,0.111389,3.54317,-0.506642,-155.108,-491.849,6948.17,970.991,-155.204,3.17102,0
159,2,0.0396729,0.00244141,0.145569,3.16609,-0.174812,-154.425,-266.426,6990.04,952.938,-154.735,1.72529,0
159,3,0.0350952,0.00244141,0.157166,3.80331,-0.239919,-155.2,-335.006,6991.14,888.018,-154.954,2.15855,0
159,4,0.0314331,0.000915527,0.158691,4.04506,-0.416171,-154.584,-98.0314,7006.19,980.745,-154.677,0.634162,0
160,0,0.03479,0.000915527,0.100708,3.69025,-0.348457,-154.243,-16.9931,7118.16,920.136,-153.851,0.110171,0
160,1,0.0271606,0.0012207,0.022583,3.66677,-0.326749,-153.464,-26.7586,6940.93,892.751,-154.772,0.174364,0
160,2,0.0268555,0,-0.050354,3.24578,-0.192662,-152.253,223.01,7063.17,952.905,-153.609,-1.46473,0
160,3,0.0238037,0.000610352,-0.105896,3.11917,-0.32866,-154.078,173.083,7079.67,892.645,-154.051,-1.12335,0
160,4,0.0350952,0.000915527,-0.138245,3.75778,-0.240763,-154.595,232.732,7000.69,911.904,-154.716,-1.50544,0
161,0,0.0274658,0,-0.149231,3.68639,-0.303424,-152.943,385.824,7080.91,934.569,-153.702,-2.52267,0
161,1,0.0305176,0.0012207,-0.136108,3.40151,-0.50127,-153.199,176.697,7225.81,938.102,-152.834,-1.15338,0
